Latitude,Longitude,Sample,SiO2,Al2O3,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,V,Cr,Co,Ni,Cu,Pb,Zn,Rb,Sr,Cs,Y,Zr,Nb,Ba,Hf,Ta,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,SOM_Cluster,Plumbing_System,Geochemical_Group,Province,LaYb,Xwmerckm,Ywmerckm,LaYb10plus,LaYb10minus,HT,LT,X,S1,S2,S3,S4
-6.152222,-36.814724,DKFL02,51.2,12.68,15.19,0.2,4.08,7.2,2.74,1.73,3.25,0.54,1.5,358,90,41,32,230,2,94,37.6,530,0.7,-681.606031097927,290,26.5,573,7.6,1.8,5.5,1.4,45.2,95.7,11.89,48.8,10.21,3.12,9.99,1.49,8.18,1.65,4.19,0.57,3.87,0.52,SA1,EW-RCM dike swarm,HT,Equatorial,11.6795865633075,,,11.6795865633075,,3.25,,-4098.19632937491,,,,
-6.16492,-37.024802,DKJU,51.4,12.66,15.31,0.2,4.05,7.02,2.85,1.95,3.38,0.51,1.03,374,20,42,22,243,4,89,54.9,626,1.5,-683.018362294441,284,27.3,603,7.7,1.7,5.2,1.2,42.6,93.1,11.27,49.4,9.98,2.96,9.57,1.44,7.73,1.56,3.98,0.59,3.52,0.49,SA1,EW-RCM dike swarm,HT,Equatorial,12.1022727272727,,,12.1022727272727,,3.38,,-4121.58210536178,,,,
-6.109099,-36.201929,DKSV1,51.4,12.68,15.29,0.19,3.95,7.09,2.83,1.74,3.34,0.52,1.14,378,6,44,20,234,2.1,100,43.2,538,1,-676.809943259048,298,27.5,629,7.4,1.8,5,1.2,45.7,99.1,12.04,50.6,10.36,2.99,9.26,1.48,8.79,1.58,4.17,0.59,3.48,0.55,SA1,EW-RCM dike swarm,HT,Equatorial,13.132183908046,,,13.132183908046,,3.34,,-4029.98030201424,,,,
-5.289984,-35.248982,HD27,49.4,12.02,15.65,0.2,4.77,7.71,2.73,1.58,3.95,0.4,1.28,467,82,43,36,249,1.7,98,36,552,0.5,-585.780099366905,252,20.4,455,6.3,1.2,3.4,0.8,33.1,71.7,8.95,37.6,8.77,2.65,8.06,1.2,7.02,1.36,3.5,0.48,2.61,0.44,SA1,EW-RCM dike swarm,HT,Equatorial,12.6819923371648,,,12.6819923371648,,3.95,,-3923.89872722127,,,,
,,HD28,52.2,12.69,13.78,0.21,3.86,7.13,3.04,2.12,3.1,0.78,1.1,243,82,32,13,61,1.6,96,45.2,593,0.7,,324,28.2,611,8.1,1.8,5,1.1,49,109.2,13.06,57.1,12.15,3.55,10.9,1.6,8.89,1.56,4.38,0.61,3.43,0.51,SA1,EW-RCM dike swarm,HT,Equatorial,14.2857142857143,,,14.2857142857143,,3.1,,,,,,
-5.699986,-35.560019,HD32A,52.1,12.75,13.05,0.2,3.64,6.48,3.31,2.21,2.85,0.8,1.81,204,82,28,12,52,4.9,95,47.5,603,0.8,-631.32796796443,334,28.5,635,8.2,1.7,5.1,1.2,49.9,110.5,13.59,58,12.56,3.58,10.68,1.62,8.71,1.59,4.25,0.59,3.36,0.51,SA1,EW-RCM dike swarm,HT,Equatorial,14.8511904761905,,,14.8511904761905,,2.85,,-3958.52320767913,,,,
-5.699986,-35.560019,HD32B,52,12.74,13.84,0.2,3.76,7.13,3.01,2,3.07,0.78,1.24,238,100,31,17,76,2.6,86,30.6,603,0.3,-631.32796796443,326,29.1,600,8.8,1.9,4.7,1,49.5,107,13,56.5,11.93,3.37,10.68,1.56,8.61,1.63,4.37,0.58,3.56,0.53,SA1,EW-RCM dike swarm,HT,Equatorial,13.9044943820225,,,13.9044943820225,,3.07,,-3958.52320767913,,,,
-5.830408,-38.960461,DCE04,50.7,13.2,14.3,0.18,4.4,7.46,3.06,1.72,3.55,0.55,0.92,388,,37.8,27.2,170.5,2.8,107,42.6,615,1.8,-645.823583749536,276.8,24.3,534,7,1.5,4.4,1,39.3,85.6,10.81,46.1,9.6,2.97,8.97,1.31,7.4,1.37,3.59,0.48,3.02,0.44,SA1,NE-RCM dike swarm,HT,Equatorial,13.0132450331126,,,13.0132450331126,,3.55,,-4337.0586795912,,,,
-5.917964977,-39.23491558,DCE05,51.8,12.8,13.8,0.19,3.92,7.72,2.76,1.61,3.12,0.72,1.25,274,,32,13.7,63.9,2,79,35.6,700.9,3.7,-655.556922456636,328,27.5,573,8.1,1.6,4.1,0.9,41.2,92.9,12.91,55.8,11.86,3.38,10.46,1.57,8.77,1.59,4.13,0.59,3.34,0.47,SA1,NE-RCM dike swarm,HT,Equatorial,12.3353293413174,,,12.3353293413174,,3.12,,-4367.61082368268,,,,
-5.930092347,-39.24334101,DCE07,52.6,13,13.6,0.17,3.62,6.82,3.24,2.1,3.1,0.76,0.72,265,,35.1,19.9,77.2,4,111,40.3,546.1,0.2,-656.9051935256,336.1,28.8,725,8.5,1.7,4.8,1,46.2,103.5,12.76,57,11.37,3.54,11.2,1.64,8.93,1.67,4.54,0.6,3.48,0.52,SA1,NE-RCM dike swarm,HT,Equatorial,13.2758620689655,,,13.2758620689655,,3.1,,-4368.54873825999,,,,
