Latitude,Longitude,Sample,SiO2,Al2O3,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,V,Cr,Co,Ni,Cu,Pb,Zn,Rb,Sr,Cs,Y,Zr,Nb,Ba,Hf,Ta,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,SOM_Cluster,Plumbing_System,Geochemical_Group,Province,LaYb,Xwmerckm,Ywmerckm,LaYb10plus,LaYb10minus,HT,LT,X,S1,S2,S3,S4
-22.703586,-43.74,NSA-ELS-3A,52.45,13.51,11.85,0.16,3.45,6.55,3.17,2.48,3.14,0.81,1.39,,,,36,,,,65,1040,,-2579.72628361609,324,39,950,,,7,1.6,67.2,142,16.8,66.5,13.4,4.43,11.3,1.6,8.1,1.3,3.6,,2.9,0.39,SA2,Resende-Ilha Grande dike swarm,HT,Paraná,23.1724137931034,-4869.11452729779,-2579.72628361609,23.1724137931034,,3.14,,-4869.11452729779,,,,
-22.703586,-43.75,NSA-S1-226,49.85,12.98,14.58,0.2,3.97,7.85,2.95,1.78,3.75,1.13,1.43,,,,39,,,,48,617,,-2579.72628361609,267,29,599,,,4.7,2.4,36.81,81.87,10.6,47.3,10.2,3.35,10.51,1.47,8.26,1.6,3.89,,3.3,0.44,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,11.1545454545455,-4870.22772220572,-2579.72628361609,11.1545454545455,,3.75,,-4870.22772220572,,,,
-22.703586,-43.76,PR-EG-04,50.35,12.85,14.73,0.19,4.47,7.64,3.04,1.64,3.73,1.41,0.31,,,,64,,,,50,551,,-2579.72628361609,256,26,530,,,4.3,0.9,39.1,85.9,10.44,45.6,10.2,3.38,9.2,1.4,7.43,1.3,3.81,,3.11,0.46,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,12.572347266881,-4871.34091711365,-2579.72628361609,12.572347266881,,3.73,,-4871.34091711365,,,,
-22.703586,-43.77,PR-61c,53.55,13.79,11.96,0.17,3.48,5.92,3.43,3.13,3.46,0.77,3.31,,,,59,,,,101,1120,,-2579.72628361609,314,39,1230,,,7.9,1.55,68,146,17,71,13.9,4.29,11.6,1.6,7.8,1.3,3.83,,2.9,0.41,SA2,Resende-Ilha Grande dike swarm,HT,Paraná,23.448275862069,-4872.45411202158,-2579.72628361609,23.448275862069,,3.46,,-4872.45411202158,,,,
-22.703586,-43.78,PR-66b,50.14,13.27,14.43,0.19,4.72,8.4,2.64,1.58,3.97,0.66,1.49,,,,90,,,,39,685,,-2579.72628361609,243,28,557,,,4.5,0.9,40.9,90,10.9,48.3,10.4,3.42,9.6,1.4,7.4,1.4,3.9,,3.05,0.44,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,13.4098360655738,-4873.56730692952,-2579.72628361609,13.4098360655738,,3.97,,-4873.56730692952,,,,
-22.703586,-43.79,PR-EG-03,50.25,13.2,13.96,0.58,4.57,7.97,2.64,1.67,4.09,0.8,2.41,,,,71,,,,36,785,,-2579.72628361609,261,26,574,,,4.2,1,45,99.6,12.1,53.5,11.5,3.74,10.2,1.4,7.5,1.3,3.8,,2.8,0.41,SA4,Resende-Ilha Grande dike swarm,HT,Paraná,16.0714285714286,-4874.68050183745,-2579.72628361609,16.0714285714286,,4.09,,-4874.68050183745,,,,
-22.703586,-43.8,PR-EG-01,53.24,12.42,15.05,0.19,3.11,6.8,2.91,2.23,3.3,0.66,0.12,,,,44,,,,64,496,,-2579.72628361609,346,27,713,,,7.01,1.5,55.86,122,14.4,61.8,13.2,3.89,12.2,1.8,9.91,1.8,5.31,,4.3,0.64,SA2,Resende-Ilha Grande dike swarm,HT,Paraná,12.9906976744186,-4875.79369674538,-2579.72628361609,12.9906976744186,,3.3,,-4875.79369674538,,,,
-22.703586,-43.81,PR-L-29B,52.9,13.79,13.13,0.19,3.66,7.22,3.07,2.01,3.34,0.69,1.21,,,,38,,,,51,711,,-2579.72628361609,300,30,697,,,5.4,1.21,50.9,111,13.2,57.9,12.1,3.93,10.9,1.6,8.4,1.5,4.4,,3.4,0.5,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,14.9705882352941,-4876.90689165332,-2579.72628361609,14.9705882352941,,3.34,,-4876.90689165332,,,,
-22.703586,-43.82,RE-II-10,50.5,13.6,13.41,0.21,4.5,7.1,2.8,2.2,3.5,0.66,1.37,,,,24,,,,41,647,,-2579.72628361609,290,29,605,,,6,,38.76,94.4,,44.18,8.87,2.38,6.54,,5.36,1.02,2.45,,1.69,0.21,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,22.9349112426036,-4878.02008656125,-2579.72628361609,22.9349112426036,,3.5,,-4878.02008656125,,,,
-22.703586,-43.83,RE-II-22,51.1,13,13.31,0.22,4.3,6.7,3.5,2.4,3.4,0.7,1.16,,,,24,,,,51,661,,-2579.72628361609,351,34,770,,,6,,55.53,117,,44.05,9.47,2.51,6.27,,4.55,0.83,1.84,,1.15,0.14,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,48.2869565217391,-4879.13328146918,-2579.72628361609,48.2869565217391,,3.4,,-4879.13328146918,,,,
-22.703586,-43.84,RE-III-102A,51.2,13.2,13.61,0.17,4.6,7.2,3.1,1.8,3.5,0.63,0.78,,,,31,,,,37,543,,-2579.72628361609,267,28,635,,,,,39.15,94.77,,36.76,8.17,2.14,5.18,,4.16,0.75,1.63,,0.94,0.12,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,41.6489361702128,-4880.24647637711,-2579.72628361609,41.6489361702128,,3.5,,-4880.24647637711,,,,
-22.703586,-43.85,VR-249,50.1,14,14.64,0.21,4.9,7.8,2.4,1.5,3,0.49,0.86,,,,31,,,,36,507,,-2579.72628361609,258,27,455,,,,,39.6,93.94,,45.61,8.99,2.44,6.8,,5.28,0.99,2.32,,1.52,0.2,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,26.0526315789474,-4881.35967128505,-2579.72628361609,26.0526315789474,,3,,-4881.35967128505,,,,
-22.703586,-43.86,VR-5011B,49.8,13.2,14.16,0.22,4.1,6.9,3.2,2.3,3.5,1.2,1.22,,,,24,,,,47,851,,-2579.72628361609,291,37,853,,,,,54.53,131,,57.65,11.48,3.05,7.72,,5.42,1.01,2.37,,1.37,0.18,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,39.8029197080292,-4882.47286619298,-2579.72628361609,39.8029197080292,,3.5,,-4882.47286619298,,,,
-22.703586,-43.87,VR253B,46.7,14,14.61,0.16,5.4,8.5,2.4,1.5,4.5,0.48,1.59,,,,47,,,,44,727,,-2579.72628361609,265,27,488,,,,,35.97,85.68,,39.43,8.11,2.18,6.29,,4.89,0.93,2.23,,1.41,0.18,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,25.5106382978723,-4883.58606110091,-2579.72628361609,25.5106382978723,,4.5,,-4883.58606110091,,,,
-22.703586,-43.88,VR-149,47.98,13.31,14.07,0.17,5.37,8.76,2.32,1.28,4.63,0.47,1.82,,,,,,,,29,830,,-2579.72628361609,170,18,909,,,3.34,0.9,69.1,149,18,75.2,14.5,4.59,11.4,,8.9,1.5,4,,2.8,0.33,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,24.6785714285714,-4884.69925600884,-2579.72628361609,24.6785714285714,,4.63,,-4884.69925600884,,,,
-22.703586,-43.89,VR-288,53.56,13.79,11.31,0.16,3.5,6.49,3.11,2.24,3.1,0.88,1.44,,,,,,,,72,1150,,-2579.72628361609,280,39,997,,,8.8,,32.8,72.9,9.22,40.7,8.7,2.72,7.3,,5.8,1.1,2.7,,1.9,0.23,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,17.2631578947368,-4885.81245091678,-2579.72628361609,17.2631578947368,,3.1,,-4885.81245091678,,,,
-22.703586,-43.9,VR-DE-04,48.62,13.29,13.8,0.19,4.4,8.14,2.66,1.36,3.98,0.82,1.53,,,,,,,,44,763,,-2579.72628361609,201,16,661,,,2.96,0.8,31,84.2,10.9,49,10.8,3.39,9.1,,7.7,1.4,3.7,,2.5,0.32,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,12.4,-4886.92564582471,-2579.72628361609,12.4,,3.98,,-4886.92564582471,,,,
-22.703586,-43.91,NSA-ELS-5,51.19,13.12,12.45,0.16,3.49,6.35,3.28,2.21,3.29,0.99,2.37,,,,,,,,54,881,,-2579.72628361609,330,42,931,,,6.9,1.6,68.4,145,17.2,68.7,13.5,4.43,11.2,1.6,8.1,1.3,3.5,,2.7,0.38,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,25.3333333333333,-4888.03884073264,-2579.72628361609,25.3333333333333,,3.29,,-4888.03884073264,,,,
-22.703586,-43.92,VR-ELS-6,47.04,12.83,15.2,0.2,4.7,8.55,2.59,1.41,4.23,0.75,1.8,,,,38,,,,30,734,,-2579.72628361609,246,27,561,,,2.9,0.7,39.7,89.8,11.2,47.9,10.9,3.68,9.9,1.5,7.9,1.4,3.6,,2.9,0.4,SA1,Resende-Ilha Grande dike swarm,HT,Paraná,13.6896551724138,-4889.15203564058,-2579.72628361609,13.6896551724138,,4.23,,-4889.15203564058,,,,
-22.703586,-43.93,VR-ELS-7,52.8,13.37,11.55,0.16,3.48,6.39,3.14,2.47,3.05,0.83,1.5,,,,50,,,,66,1010,,-2579.72628361609,330,40,945,,,6.9,1.6,65.6,140,16.4,65.5,12.9,4.27,10.7,1.6,8.1,1.4,3.6,,2.8,0.4,SA2,Resende-Ilha Grande dike swarm,HT,Paraná,23.4285714285714,-4890.26523054851,-2579.72628361609,23.4285714285714,,3.05,,-4890.26523054851,,,,
-22.703586,-43.94,VR-ELS-8a,54.72,13.07,9.65,0.13,4.26,5.98,2.95,3.52,2.71,0.45,1.32,,,,46,,,,105,820,,-2579.72628361609,384,57,1160,,,11.5,2.5,84.5,174,19,69.8,12.1,3.35,8.8,1.2,6.4,1,2.8,,2.3,0.34,SA2,Resende-Ilha Grande dike swarm,HT,Paraná,36.7391304347826,-4891.37842545644,-2579.72628361609,36.7391304347826,,2.71,,-4891.37842545644,,,,
-22.703586,-43.95,VR-ELS-9a,52.39,12.95,12.98,0.18,3.43,6.82,3.03,2.18,3.25,0.73,0.95,,,,,,,,53,626,,-2579.72628361609,312,34,714,,,5.6,1.3,53.3,116,14.2,57,12.3,3.93,11,1.7,9,1.6,4.2,,3.6,0.6,SA2,Resende-Ilha Grande dike swarm,HT,Paraná,14.8055555555556,-4892.49162036437,-2579.72628361609,14.8055555555556,,3.25,,-4892.49162036437,,,,
-22.75625,-41.86,LM-BZ 6R,51.99,13.17,13.59,0.2,5.17,9.06,2.95,0.96,2.23,0.3,0.51,,44,,36.7,,2.19,,21.7,263,,-2586.04622223715,158,12.8,205,,0.79,1.83,0.42,18,40.7,5.21,22.7,6.09,1.84,5.75,0.96,6.03,1.17,2.97,0.43,2.6,0.38,SA3,Serra do Mar dike swarm,TT,Paraná,6.92307692307692,-4659.83388460643,-2586.04622223715,,6.92307692307692,2.23,,-4659.83388460643,,,,
-22.75625,-41.87,LM-BZ 15,49.19,13.22,16.45,0.23,6.04,9.32,2.73,0.94,2.13,0.32,0.42,,51.9,,58.4,,2.96,,37,205,,-2586.04622223715,142,17.3,346,,0.88,2.65,0.86,21.9,45.1,5.37,22.6,5.94,1.91,6.18,1.06,7.23,1.55,4.16,0.62,4.02,0.62,SA4,Serra do Mar dike swarm,TT,Paraná,5.44776119402985,-4660.94707951436,-2586.04622223715,,5.44776119402985,2.13,,-4660.94707951436,,,,
-22.75625,-41.88,LM-DA 211,51.7,13.04,13.62,0.19,5.17,9.28,2.49,1.04,2.21,0.29,0.66,,52.8,,40.9,,1.81,,40.4,288,,-2586.04622223715,180,13.8,202,,0.86,1.95,0.4,19.2,44.1,5.61,24.6,6.53,1.98,6.37,1.05,6.52,1.28,3.17,0.46,2.79,0.41,SA3,Serra do Mar dike swarm,TT,Paraná,6.88172043010753,-4662.0602744223,-2586.04622223715,,6.88172043010753,2.21,,-4662.0602744223,,,,
-22.75625,-41.89,LM-DA 155,50.19,14.63,13.38,0.18,5.83,10.75,2.79,0.56,1.66,0.19,0.33,,47.8,,54.2,,1.6,,17.2,240,,-2586.04622223715,110,9.8,190,,0.59,1.53,1.37,13.3,29.6,3.71,16,4.29,1.46,4.29,0.76,4.89,1.03,2.66,0.39,2.46,0.37,SA3,Serra do Mar dike swarm,LT,Paraná,5.40650406504065,-4663.17346933023,-2586.04622223715,,5.40650406504065,,1.66,-4663.17346933023,,,,
-22.75625,-41.9,LM-DA 212,50.02,13.89,13.88,0.19,5.81,10.38,2.53,0.73,1.71,0.21,0.45,,45.7,,54.2,,1.7,,22.6,231,,-2586.04622223715,116,10.5,173,,0.64,1.62,0.36,13.8,30.7,3.89,16.8,4.61,1.51,4.63,0.79,5.19,1.07,2.81,0.43,2.57,0.39,SA3,Serra do Mar dike swarm,LT,Paraná,5.36964980544747,-4664.28666423816,-2586.04622223715,,5.36964980544747,,1.71,-4664.28666423816,,,,
-22.75625,-41.91,LM-DA 200,50.94,13.8,14.62,0.2,5.65,10.3,2.76,0.66,1.92,0.22,0.11,,41.8,,48.1,,1.81,,19.8,231,,-2586.04622223715,131,11,169,,0.67,1.55,0.3,14.2,32.5,4.19,18.5,5.04,1.69,5.15,0.89,5.88,1.2,3.13,0.46,2.85,0.43,SA3,Serra do Mar dike swarm,LT,Paraná,4.98245614035088,-4665.3998591461,-2586.04622223715,,4.98245614035088,,1.92,-4665.3998591461,,,,
-22.75625,-41.92,LM-DA 152,50.04,14.79,12.05,0.17,6.82,11.38,2.48,0.57,1.35,0.16,0.41,,177.8,,68.6,,1.72,,19.3,220,,-2586.04622223715,94,7.9,142,,0.5,1.57,0.61,10.4,23,2.94,12.8,3.64,1.25,3.73,0.65,4.35,0.88,2.33,0.34,2.18,0.33,SA3,Serra do Mar dike swarm,LT,Paraná,4.77064220183486,-4666.51305405403,-2586.04622223715,,4.77064220183486,,1.35,-4666.51305405403,,,,
-22.75625,-41.93,LM-DA 161,48.01,12.89,17.76,0.24,5.85,9.78,2.43,0.51,2.19,0.3,0.55,,74.4,,62.8,,2.24,,14.1,202,,-2586.04622223715,140,16.3,227,,0.84,1.91,0.44,19.5,41,5.09,22,5.91,1.95,6.17,1.09,7.49,1.56,4.23,0.64,4.03,0.61,SA4,Serra do Mar dike swarm,TT,Paraná,4.83870967741936,-4667.62624896196,-2586.04622223715,,4.83870967741936,2.19,,-4667.62624896196,,,,
-22.75625,-41.94,LM-DA 209,50.29,13.5,14.07,0.2,6.42,10.4,2.43,0.63,1.8,0.22,0.48,,133.3,,69.5,,3.1,,21.7,188,,-2586.04622223715,130,10.9,155,,0.67,1.66,0.35,13.7,31,3.95,17.3,4.86,1.58,5.06,0.91,6.02,1.25,3.32,0.5,3.09,0.46,SA3,Serra do Mar dike swarm,LT,Paraná,4.4336569579288,-4668.73944386989,-2586.04622223715,,4.4336569579288,,1.8,-4668.73944386989,,,,
-22.75625,-41.95,LM-DA 203,47.62,14.12,12.9,0.19,8.34,13.37,2.11,0.23,1.12,0.13,0.56,,103.8,,103.5,,0.63,,9.7,164,,-2586.04622223715,55,6,83,,0.35,0.73,0.16,6.4,14,1.84,8.6,2.77,1.02,3.12,0.58,3.96,0.84,2.19,0.33,2.02,0.3,SA3,Serra do Mar dike swarm,LT,Paraná,3.16831683168317,-4669.85263877783,-2586.04622223715,,3.16831683168317,,1.12,-4669.85263877783,,,,
-22.75625,-41.96,LM-DA 208,47.44,14.42,13.12,0.19,7.99,12.46,2.21,0.38,1.12,0.14,1.13,,225.4,,131.8,,1.21,,14.4,163,,-2586.04622223715,60,7.5,107,,0.44,0.93,0.21,8.2,17.7,2.22,9.8,2.85,1,3.21,0.59,4.14,0.89,2.38,0.36,2.26,0.34,SA3,Serra do Mar dike swarm,LT,Paraná,3.6283185840708,-4670.96583368576,-2586.04622223715,,3.6283185840708,,1.12,-4670.96583368576,,,,
-22.75625,-41.97,LM-DA 206,46.91,14.17,13.77,0.19,7.06,12.72,2.26,0.36,1.41,0.17,1.08,,96.7,,103.9,,0.87,,15.2,219,,-2586.04622223715,88,12.4,117,,0.76,1.25,0.27,11.3,25,3.26,14.7,4.21,1.44,4.51,0.79,5.36,1.09,2.92,0.43,2.73,0.41,SA3,Serra do Mar dike swarm,LT,Paraná,4.13919413919414,-4672.07902859369,-2586.04622223715,,4.13919413919414,,1.41,-4672.07902859369,,,,
-22.75625,-41.98,LM-DA 204,47.46,14.3,13.16,0.19,7.24,12.34,2.26,0.4,1.54,0.18,0.79,,193.6,,110.6,,0.9,,19.5,190,,-2586.04622223715,86,10.7,116,,0.72,1.28,0.25,10.5,23.4,3.01,13.5,3.9,1.29,4.01,0.7,4.6,0.95,2.54,0.37,2.29,0.35,SA3,Serra do Mar dike swarm,LT,Paraná,4.58515283842795,-4673.19222350162,-2586.04622223715,,4.58515283842795,,1.54,-4673.19222350162,,,,
-22.75625,-41.99,LM-DA 182,48.33,14.31,13.32,0.19,7.81,12.39,2.44,0.38,0.97,0.14,0.25,,104.4,,81.6,,3.14,,12,167,,-2586.04622223715,47,9.3,124,,0.49,1.18,0.27,9.6,19,2.24,9.4,2.67,0.96,3.05,0.59,4.28,0.92,2.58,0.41,2.56,0.39,SA3,Serra do Mar dike swarm,LT,Paraná,3.75,-4674.30541840956,-2586.04622223715,,3.75,,0.97,-4674.30541840956,,,,
-22.75625,-42,LM-DA 158,47.51,12.82,15.72,0.21,6.94,11.25,2.4,0.3,1.88,0.21,1.14,,67.1,,81.7,,1.06,,18,193,,-2586.04622223715,101,11.2,79,,0.66,1.33,0.29,11.3,25.3,3.34,15.5,4.72,1.62,5.13,0.93,6.27,1.27,3.33,0.5,3.06,0.46,SA3,Serra do Mar dike swarm,TT,Paraná,3.69281045751634,-4675.41861331749,-2586.04622223715,,3.69281045751634,,1.88,-4675.41861331749,,,,
-22.75625,-42.01,LM-DA 205,47.51,13.87,14.64,0.21,6.92,11.98,2.5,0.43,1.33,0.17,0.63,,49.2,,83.3,,0.96,,14.8,166,,-2586.04622223715,78,10.9,125,,0.62,1.29,0.28,11.1,23.4,2.88,12.6,3.49,1.22,3.91,0.71,4.96,1.07,2.9,0.45,2.78,0.43,SA3,Serra do Mar dike swarm,LT,Paraná,3.99280575539568,-4676.53180822542,-2586.04622223715,,3.99280575539568,,1.33,-4676.53180822542,,,,
-22.75625,-42.02,LM-BZ 4R,47.41,14,14.31,0.21,6.81,11.83,2.55,0.44,1.34,0.17,1.42,,41.1,,77.6,,1.05,,17.4,170,,-2586.04622223715,78,10.9,159,,0.63,1.32,0.28,11.1,23.7,2.94,12.6,3.53,1.23,3.98,0.72,5.09,1.09,2.94,0.45,2.84,0.43,SA3,Serra do Mar dike swarm,LT,Paraná,3.90845070422535,-4677.64500313336,-2586.04622223715,,3.90845070422535,,1.34,-4677.64500313336,,,,
-22.75625,-42.03,LM-BZ 5R,48.03,14.05,13.86,0.2,6.85,12.07,2.63,0.4,1.36,0.17,0.99,,40.3,,77.3,,1.04,,13.9,167,,-2586.04622223715,79,11.2,122,,0.63,1.26,0.36,11.2,23.8,2.98,13,3.56,1.25,3.91,0.72,5.09,1.08,2.93,0.45,2.8,0.43,SA3,Serra do Mar dike swarm,LT,Paraná,4,-4678.75819804129,-2586.04622223715,,4,,1.36,-4678.75819804129,,,,
-22.75625,-42.04,LM-DA 150,47.45,14.75,12.75,0.19,7.79,13.17,2.18,0.39,1.19,0.15,0.75,,101.5,,99.9,,1.25,,17.6,181,,-2586.04622223715,63,9.6,105,,0.58,1.01,0.23,8.6,18.5,2.33,10.7,2.99,1.06,3.16,0.57,3.85,0.81,2.14,0.32,2,0.31,SA3,Serra do Mar dike swarm,LT,Paraná,4.3,-4679.87139294922,-2586.04622223715,,4.3,,1.19,-4679.87139294922,,,,
-22.75625,-42.05,LM-DA 183,49.32,13.1,15.16,0.22,5.89,10.03,3.32,0.95,1.5,0.24,0.46,,28.9,,53.2,,5.87,,44.4,182,,-2586.04622223715,130,14.1,255,,0.67,2.28,0.6,56.6,104.1,11.27,43.7,9.43,2.64,10.01,1.62,10.83,2.3,6.22,0.91,5.65,0.82,SA4,Serra do Mar dike swarm,LT,Paraná,10.0176991150442,-4680.98458785715,-2586.04622223715,10.0176991150442,,,1.5,-4680.98458785715,,,,
-22.841109,-41.99,CF-TD-14b,47.22,14.53,11.03,0.17,8.13,11.46,2.19,1.21,1.03,0.11,2.79,317,280,,100,,,,67,260,,-2596.23490793672,64,7,213,2.1,,1,0.2,8.9,18.9,2.48,10.4,3,1.09,3.8,0.7,4.3,0.9,2.6,0.38,2.4,0.36,SA3,Serra do Mar dike swarm,LT,Paraná,3.70833333333333,-4674.30541840956,-2596.23490793672,,3.70833333333333,,1.03,-4674.30541840956,,,,
-22.841109,-42,FC-TD-01a,46.95,14.12,12.17,0.17,8.06,13.15,1.99,0.08,1.13,0.13,1.34,343,100,,80,,,,6,166,,-2596.23490793672,59,6,62,1.8,,0.7,0.2,7,15.2,2.09,9.8,3,1.12,3.8,0.7,4.1,0.8,2.4,0.34,2.1,0.32,SA3,Serra do Mar dike swarm,LT,Paraná,3.33333333333333,-4675.41861331749,-2596.23490793672,,3.33333333333333,,1.13,-4675.41861331749,,,,
-22.841109,-42.01,CF-TD-15a,47.47,14.07,11.36,0.18,8.01,10.48,2.68,1.12,1.14,0.12,2.72,353,230,,70,,,,59,234,,-2596.23490793672,68,7,273,2.1,,1.1,0.2,9.4,20.2,2.67,11.2,3.2,1.18,4.1,0.8,4.6,0.9,2.8,0.42,2.6,0.39,SA3,Serra do Mar dike swarm,LT,Paraná,3.61538461538462,-4676.53180822542,-2596.23490793672,,3.61538461538462,,1.14,-4676.53180822542,,,,
-22.841109,-42.02,FC-WT-14,47.68,14.41,12.39,0.19,7.81,12.7,2.21,0.3,1.1,0.12,1.03,355,268,,129,,,,6,164,,-2596.23490793672,55,8,94,1.8,,0.9,0.2,8.9,18,2.39,9.8,3,1.13,3.4,0.7,4.3,0.9,2.5,0.38,2.3,0.34,SA3,Serra do Mar dike swarm,LT,Paraná,3.8695652173913,-4677.64500313336,-2596.23490793672,,3.8695652173913,,1.1,-4677.64500313336,,,,
-22.841109,-42.03,CF-TD-06a,48.32,13.84,12.24,0.19,7.8,12.59,2.1,0.21,0.92,0.12,0.99,335,150,,70,,,,8,146,,-2596.23490793672,50,9,150,1.6,,1.1,0.2,16.4,19.5,3.49,13.4,3.4,1.11,4.3,0.7,4.7,1,3,0.45,2.8,0.43,SA3,Serra do Mar dike swarm,LT,Paraná,5.85714285714286,-4678.75819804129,-2596.23490793672,,5.85714285714286,,0.92,-4678.75819804129,,,,
-22.841109,-42.04,FC-WT-62,47.5,14.47,12.33,0.19,7.77,13.02,1.97,0.34,1.24,0.14,1.15,357,125,,,,,,8,201,,-2596.23490793672,72,8,81,2.3,,0.8,0.2,7.8,16.5,2.16,10.8,3.2,1.26,3.9,0.7,4.4,0.9,2.5,0.38,2.2,0.33,SA3,Serra do Mar dike swarm,LT,Paraná,3.54545454545455,-4679.87139294922,-2596.23490793672,,3.54545454545455,,1.24,-4679.87139294922,,,,
-22.841109,-42.05,FC-WT-48,47.61,15.04,12.35,0.18,7.68,13.09,2.04,0.31,1.23,0.14,0.58,344,104,,,,,,8,204,,-2596.23490793672,70,7,78,2.2,,0.8,0.2,7.5,15.9,2.13,10.3,3,1.21,3.7,0.7,4.2,0.9,2.4,0.34,2.2,0.31,SA3,Serra do Mar dike swarm,LT,Paraná,3.40909090909091,-4680.98458785715,-2596.23490793672,,3.40909090909091,,1.23,-4680.98458785715,,,,
-22.841109,-42.06,CF-TD-16,47.58,13.95,11.73,0.19,7.63,12.51,2.19,0.14,1.13,0.13,1.81,348,220,,80,,,,4,161,,-2596.23490793672,68,7,89,2.2,,1.1,0.2,9.7,20.5,2.68,11.2,3.2,1.19,4.1,0.7,4.5,0.9,2.8,0.41,2.6,0.38,SA3,Serra do Mar dike swarm,LT,Paraná,3.73076923076923,-4682.09778276509,-2596.23490793672,,3.73076923076923,,1.13,-4682.09778276509,,,,
-22.841109,-42.07,CF-TD-07a,47.77,14.61,11.83,0.18,7.56,10.8,2.53,1.16,1.52,0.16,1.48,396,280,,100,,,,37,343,,-2596.23490793672,78,10,717,2.5,,0.9,0.2,9,20,2.85,12.9,3.8,1.39,4.6,0.8,4.5,0.9,2.6,0.38,2.3,0.35,SA3,Serra do Mar dike swarm,LT,Paraná,3.91304347826087,-4683.21097767302,-2596.23490793672,,3.91304347826087,,1.52,-4683.21097767302,,,,
-22.841109,-42.08,CF-TD-13b,47.81,14.27,11.74,0.18,7.53,12.83,2.07,0.13,1.12,0.12,2.03,347,240,,80,,,,6,166,,-2596.23490793672,70,7,95,2.2,,1.1,0.2,9.8,20.7,2.67,11,3.1,1.17,4,0.7,4.5,0.9,2.7,0.4,2.6,0.38,SA3,Serra do Mar dike swarm,LT,Paraná,3.76923076923077,-4684.32417258095,-2596.23490793672,,3.76923076923077,,1.12,-4684.32417258095,,,,
-22.841109,-42.09,CF-TD-02b,47.37,13.95,13.4,0.21,7.51,12.67,2.12,0.25,1.23,0.15,1.1,397,110,,70,,,,9,163,,-2596.23490793672,66,9,96,2.1,,0.9,0.2,9.3,19.7,2.63,11.3,3.3,1.25,4.4,0.8,4.9,1,3.1,0.45,2.9,0.43,SA3,Serra do Mar dike swarm,LT,Paraná,3.20689655172414,-4685.43736748888,-2596.23490793672,,3.20689655172414,,1.23,-4685.43736748888,,,,
-22.841109,-42.1,FC-WT-04 DQ 2,46.94,15.3,11.07,0.17,7.5,13.29,1.96,0.37,1.16,0.12,0.84,321,139,,,,,,11,200,,-2596.23490793672,63,6,88,2,,0.7,0.2,7,15,2,9.7,2.8,1.12,3.5,0.6,3.9,0.8,2.2,0.33,2,0.29,SA3,Serra do Mar dike swarm,LT,Paraná,3.5,-4686.55056239682,-2596.23490793672,,3.5,,1.16,-4686.55056239682,,,,
-22.841109,-42.11,CF-TD-07b,49.32,14.72,10.12,0.2,7.47,12.08,2.63,0.5,1.65,0.13,0.97,420,230,,50,,,,15,256,,-2596.23490793672,86,10,337,2.6,,0.9,0.2,9.7,21.3,3.03,13.6,4,1.44,4.7,0.8,4.7,0.9,2.7,0.39,2.4,0.35,SA3,Serra do Mar dike swarm,LT,Paraná,4.04166666666667,-4687.66375730475,-2596.23490793672,,4.04166666666667,,1.65,-4687.66375730475,,,,
-22.841109,-42.13,CF-TD-01,47.33,14.92,11.98,0.18,7.23,13.36,2.05,0.28,1.25,0.13,0.91,352,110,,70,,,,10,186,,-2596.23490793672,62,8,85,2.1,,0.8,0.2,8.4,18.1,2.51,11,3.2,1.2,4,0.7,4.2,0.8,2.5,0.36,2.3,0.33,SA3,Serra do Mar dike swarm,LT,Paraná,3.65217391304348,-4689.89014712062,-2596.23490793672,,3.65217391304348,,1.25,-4689.89014712062,,,,
-22.841109,-42.14,FC-WT-36,47.76,13.53,14.67,0.21,7.03,11.95,2.29,0.35,1.57,0.17,0.81,453,80,,,,,,8,184,,-2596.23490793672,91,9,96,2.8,,1,0.2,9.1,19.5,2.62,12.8,3.7,1.53,4.9,0.9,5.6,1.2,3.3,0.5,3,0.44,SA3,Serra do Mar dike swarm,LT,Paraná,3.03333333333333,-4691.00334202855,-2596.23490793672,,3.03333333333333,,1.57,-4691.00334202855,,,,
