,X,Y,Z
130,-5541.14766440914,-3236.7439880524244,-29.838862144716984
131,-6185.339374817042,-3236.337593946713,-132.28626463665597
132,-5628.833094777256,-3232.156196251905,-23.585520519446447
133,-5781.079858447234,-3231.427097435743,-21.961197645866093
134,-5709.2186294674575,-3224.6985730608703,-23.06234290994388
135,-6210.896704331279,-3216.7937537299435,-146.00841845965522
136,-5573.302962556646,-3212.07739620638,-25.628307922796296
137,-5888.314014542614,-3211.335373645494,-31.560965797674896
138,-6150.0958436794635,-3201.7643753179304,-144.84199269062213
139,-6233.265464831626,-3199.6882309943835,-160.0881947946591
140,-5671.359576186616,-3199.572055289919,-23.669182789231968
141,-5823.7180004208685,-3198.750002874752,-23.140923546468116
142,-5756.4869266275155,-3188.493068853166,-24.16003465873419
143,-5921.761008439407,-3185.7275189432617,-41.07662470226717
144,-5615.006667746741,-3180.0861433287687,-27.29767273718045
145,-6188.65758755196,-3172.259505914277,-161.0268464091616
146,-6276.207498126498,-3166.8502055335994,-161.92600490038734
147,-5867.294066991801,-3165.3541000041514,-31.734374505009043
148,-5796.2244578653035,-3158.055810883796,-34.1351067899582
149,-5728.405721704561,-3155.862827879313,-30.759684808374175
150,-5649.028331992064,-3153.987846805038,-34.685980195839136
151,-5574.565287109133,-3151.275784769647,-34.68287593918717
152,-5893.472829596888,-3145.291173677176,-55.921577850412575
153,-5829.335802774302,-3132.693929676904,-47.12623133777049
154,-5759.034779012694,-3132.3945914349674,-48.80185319903791
155,-5677.282621717183,-3132.3137503823477,-46.039822346591166
156,-5601.77422182156,-3130.4356080597618,-45.738684963253036
157,-6246.500202944754,-3128.002202127054,-161.92600518185364
